userId,food,facility,price,service,location
0000ADC0A2155E84498F32EF495F62E6,0.060606061,0.393939394,0,0.060606061,0.484848485
000123EFBCF2A5DB0AAAC1E5443D4B3B,0,0.583333333,0,0.083333333,0.333333333
000138C7F2B55598D80C946F9E800E81,0,0.5,0,0.166666667,0.333333333
0001A12058BAFAB1761C2904E926BC75,0,0.454545455,0.090909091,0.090909091,0.363636364
00028549551D8138505A85D6F8143E92,0.13559322,0.389830508,0,0.06779661,0.406779661
000286CCA158E637C530BBE00C94DE24,0.0625,0.25,0,0.0625,0.625
0006E66B28DB4ABFEFAFD1A7A38F7727,0.045454545,0.431818182,0,0.113636364,0.409090909
0007264E7008C3A6B4877C3C8B9316B3,0,0.285714286,0,0.142857143,0.571428571
0007C1726AEBA368CFEB5A2DC19496AC,0,0.5,0,0.05,0.45
0008D67A1511FF3D0EEAC524685EA7C1,0,0.375,0,0.125,0.5
0008EB6CCF6893708D3ADADCB64718A3,0,0.4375,0,0,0.5625
000C60D19E1C499534FA3B31482DEFF3,0.020833333,0.416666667,0,0.125,0.4375
000D348D29444CF318184F6A28A22244,0,0.25,0,0,0.75
000DCF704A72F028777BCEA2DC8206B8,0.1,0.3,0,0.2,0.4
000EB83C8AF1D01547BBBD7D8752D4DA,0.111111111,0.611111111,0,0.083333333,0.194444444
000F61C9E3F06BE2A286B02DD6DD86D6,0.125,0.25,0,0.125,0.5
0012EB4680345DE2CB9ACD09056F8FF3,0.114285714,0.428571429,0.014285714,0.071428571,0.371428571
0013256450A38DD2B6E0030B343BE04E,0,0.666666667,0,0.148148148,0.185185185
001346FAB03DC926FAC492813A2A8860,0.111111111,0.111111111,0,0.333333333,0.444444444
0014472256A24C4190FD0654E7B42AC8,0.071428571,0.357142857,0,0.071428571,0.5
00164C7529E2336CF97309F73F5ADAD1,0.142857143,0.642857143,0.071428571,0,0.142857143
00190DF7A1AC285D3DBCE148A7554D71,0.090909091,0.363636364,0,0.090909091,0.454545455
001967B42133CFABDBAECE031B6511CF,0,0.538461538,0,0,0.461538462
001AE493F0E19325A48DF7E13142BB4E,0,0.80952381,0,0,0.19047619
001E60FEAD09E7FE1F59E7DEC2F60647,0,0.5,0,0.166666667,0.333333333
002363BDCA6FA6B3130732F1BC7F0B3D,0.178571429,0.382653061,0.020408163,0.066326531,0.352040816
0023D8C9BD78C5FBB08D3512C8CA9B53,0.076923077,0,0,0.384615385,0.538461538
002434C93E6C76CA1BAB91B4516E5A8F,0.063492063,0.555555556,0,0.126984127,0.253968254
00244C1FDEB01FF040F82900A9E7F64D,0.087179487,0.517948718,0.01025641,0.061538462,0.323076923
0025065D1A5AA2D79C188B70C9FE0F1F,0.025641026,0.487179487,0,0.051282051,0.435897436
